Image_ID;Object_ID;Size;Perimeter;Length;Intensity;Coord_X;Coord_Y;Coord_Z
%background:/home/gonciarz/scratch/session1457358765127/tmp_1.tif
0;0;9.0;32.0;1.0;3744.629256154277;17.22222137451172;14.88888931274414;6.0
0;0;24.0;64.0;2.0;4109.821107706579;10.625;14.083333015441895;13.791666984558105
