Frame;Object_ID;Size;Perimeter;Length;Intensity;X;Y;Z
%background:/private/tmp/2//sequence.tif
0;0;25.0;20.0;3.0;245.02400539690947;225.0;91.0;0.0
0;0;58.0;38.0;7.0;213.13089436538834;98.12068939208984;212.34483337402344;0.0
0;0;74.0;46.0;8.0;206.67792483078432;12.648648262023926;268.70269775390625;0.0
0;0;41.0;28.0;2.0;205.8467697139061;142.68292236328125;49.878047943115234;0.0
0;0;267.0;84.0;13.0;118.55447577104033;90.48314666748047;104.83145904541016;0.0
0;0;38.0;26.0;2.0;95.50880264969499;150.3947296142578;113.13157653808594;0.0
0;0;92.0;48.0;10.0;120.87946175504909;54.10869598388672;135.63043212890625;0.0
0;0;398.0;100.0;17.0;110.76981283205535;92.71356964111328;140.78140258789062;0.0
0;0;39.0;30.0;2.0;182.80614374971884;140.1794891357422;72.28205108642578;0.0
0;0;31.0;28.0;3.0;196.3552086486679;74.0;213.77420043945312;0.0
0;0;20.0;20.0;1.0;167.03828539131453;81.94999694824219;244.10000610351562;0.0
0;0;37.0;26.0;5.0;150.74558758149155;191.9729766845703;195.56756591796875;0.0
0;0;10.0;13.0;2.0;179.27298279255984;227.39999389648438;166.1999969482422;0.0
0;0;24.0;22.0;1.0;129.78162883322597;186.75;217.6666717529297;0.0
0;0;11.0;14.0;3.0;150.98614411375533;194.63636779785156;127.09091186523438;0.0
0;0;24.0;22.0;3.0;129.9216454488223;142.9166717529297;161.6666717529297;0.0
0;0;16.0;18.0;2.0;124.59018962742199;58.5;68.0;0.0
0;0;20.0;22.0;1.0;109.71485457649149;217.0;21.399999618530273;0.0
0;0;56.0;36.0;2.0;97.3390168616394;99.30357360839844;40.28571319580078;0.0
0;0;64.0;44.0;8.0;87.0186202949438;73.625;166.71875;0.0
0;0;29.0;24.0;3.0;82.9592050356945;180.6896514892578;205.8275909423828;0.0
0;0;13.0;18.0;2.0;109.1145731655509;181.61538696289062;254.07691955566406;0.0
0;0;44.0;32.0;4.0;79.25844935582394;130.93182373046875;160.27272033691406;0.0
0;0;15.0;18.0;2.0;91.69697537591631;185.86666870117188;233.6666717529297;0.0
0;0;304.0;80.0;5.0;55.25498527351707;167.0361785888672;83.3125;0.0
0;0;25.0;22.0;2.0;61.16623148108679;67.87999725341797;248.8000030517578;0.0
0;0;13.0;16.0;9.0;60.93258773276665;3.538461446762085;0.3076923191547394;0.0
0;0;10.0;16.0;2.0;58.7852724707689;118.5999984741211;128.8000030517578;0.0
0;0;8.0;12.0;2.0;62.301715454744084;115.875;262.875;0.0
0;0;10.0;14.0;2.0;69.54441877749358;216.5;168.0;0.0
0;0;8.0;12.0;2.0;61.35440191993911;136.875;85.875;0.0
0;0;8.0;10.0;4.0;52.51175743465606;185.5;273.5;0.0
0;0;32.0;30.0;5.0;47.67590937362362;70.96875;83.09375;0.0
