Image_ID;Object_ID;Size;Perimeter;Length;Intensity;Coord_X;Coord_Y;Coord_Z
%background:/tmp//test//droplet_vid.tif
0;0;236.0;276.0;1.0;2812.6355020476913;19.283897399902344;36.186439514160156;28.38559341430664
0;0;13.0;21.0;0.0;5665.356933594549;0.3076923191547394;24.615385055541992;21.69230842590332
0;0;110.0;164.0;2.0;1695.3309354542719;29.127273559570312;22.345455169677734;6.645454406738281
1;0;160.0;214.0;2.0;2945.2832223624055;22.225000381469727;30.575000762939453;26.924999237060547
1;0;16.0;26.0;1.0;4187.699246053941;0.3125;19.1875;20.9375
1;0;124.0;182.0;2.0;1212.892117922242;32.73387145996094;15.491935729980469;7.870967864990234
1;0;8.0;30.0;2.0;2795.075445680105;41.25;45.75;22.75
1;0;3.0;3.0;1.0;3407.5287440885754;50.0;23.66666603088379;41.66666793823242
2;0;165.0;216.0;2.0;2937.210523634596;20.733333587646484;30.915151596069336;26.61212158203125
2;0;14.0;22.0;0.0;4616.924598723269;0.2857142984867096;13.5;21.714284896850586
2;0;110.0;166.0;0.0;1661.501172754308;37.245452880859375;14.872727394104004;9.53636360168457
2;0;1.0;6.0;1.0;21015.36444444571;43.0;43.0;22.0
3;0;189.0;238.0;2.0;2695.624978370478;15.91534423828125;29.513227462768555;26.423280715942383
3;0;88.0;144.0;1.0;1860.4690257049883;37.693180084228516;22.215909957885742;10.125
3;0;10.0;10.0;3.0;2252.73357634031;50.0;13.0;41.20000076293945
3;0;9.0;36.0;2.0;3490.2933699333357;37.88888931274414;46.22222137451172;22.33333396911621
3;0;1.0;6.0;1.0;13573.856412847843;37.0;48.0;21.0
4;0;163.0;210.0;1.0;2870.150051203328;21.122699737548828;28.803680419921875;27.03067398071289
4;0;86.0;142.0;1.0;1882.331963900754;36.47674560546875;29.918603897094727;9.267441749572754
4;0;9.0;17.0;1.0;1586.3651832057594;0.3333333432674408;14.55555534362793;22.55555534362793
4;0;7.0;13.0;2.0;1442.0134425929402;0.2857142984867096;49.28571319580078;22.714284896850586
5;0;213.0;250.0;1.0;2434.9294693017196;22.15023422241211;31.807512283325195;27.370891571044922
5;0;11.0;19.0;2.0;3905.2613070606667;0.3636363744735718;15.818181991577148;22.636363983154297
5;0;73.0;126.0;2.0;1862.7800480928413;39.136985778808594;30.041095733642578;8.246575355529785
5;0;7.0;28.0;2.0;4061.3760558128456;42.0;4.285714149475098;35.71428680419922
6;0;173.0;220.0;3.0;2718.362413609052;19.624277114868164;33.0982666015625;26.28323745727539
6;0;18.0;30.0;2.0;3039.4623804986218;0.3888888955116272;15.222222328186035;21.83333396911621
6;0;85.0;134.0;2.0;1719.657259949016;38.94117736816406;27.223529815673828;7.282352924346924
6;0;15.0;46.0;2.0;2841.555455382536;41.66666793823242;8.133333206176758;35.53333282470703
6;0;11.0;11.0;0.0;1575.4050232048505;50.0;27.454545974731445;36.181819915771484
7;0;239.0;276.0;1.0;2137.059996473512;16.26778221130371;30.054393768310547;25.330543518066406
7;0;60.0;102.0;2.0;2001.916303092335;32.45000076293945;22.66666603088379;7.449999809265137
7;0;35.0;82.0;0.0;1076.2673506366039;43.71428680419922;9.571428298950195;37.11428451538086
7;0;2.0;10.0;2.0;6618.946683201697;13.0;6.5;31.0
8;0;218.0;260.0;1.0;2798.6367268145077;18.142202377319336;32.811927795410156;26.458715438842773
8;0;95.0;152.0;1.0;1467.1501004465847;31.284210205078125;24.399999618530273;6.810526371002197
8;0;4.0;18.0;1.0;7753.093494296067;11.0;11.5;31.0
9;0;206.0;252.0;1.0;2380.4568716719837;14.970873832702637;32.27184295654297;26.592233657836914
9;0;23.0;64.0;0.0;3871.245589309817;33.434783935546875;22.65217399597168;8.782608985900879
9;0;11.0;34.0;0.0;3212.325864251895;10.636363983154297;14.363636016845703;30.727272033691406
9;0;2.0;10.0;2.0;6906.411073232325;37.5;42.0;23.0
