FileName;Frame;Channel;Id;X;Y;Z;Size;Perimeter;Length;Intensity
%background:/tmp/test/4 OA4.tif
4 OA4.tif;0;0;1;41.5;0.0;0.0;4.0;4.0;4.0;125.68213729992193
4 OA4.tif;0;0;2;30.899999618530273;10.199999809265137;0.0;30.0;24.0;3.0;151.2318489645788
4 OA4.tif;0;0;3;26.94791603088379;21.64583396911621;0.0;96.0;54.0;8.0;188.29084001437568
4 OA4.tif;0;0;4;3.8518519401550293;29.55555534362793;0.0;27.0;24.0;7.0;16.434975953313526
4 OA4.tif;0;0;5;30.33333396911621;28.33333396911621;0.0;3.0;8.0;1.0;0.7749111809470041
4 OA4.tif;0;0;6;24.0;45.0;0.0;3.0;3.0;3.0;71.96558534306318
4 OA4.tif;0;1;1;30.5;2.0;0.0;2.0;6.0;2.0;24.25456799433254
4 OA4.tif;0;1;2;24.5;8.0;0.0;8.0;14.0;2.0;297.96605759824615
4 OA4.tif;0;1;3;23.538461685180664;18.846153259277344;0.0;13.0;18.0;2.0;204.59495650549226
4 OA4.tif;0;1;4;17.5;24.0;0.0;2.0;6.0;2.0;131.23602888079242
4 OA4.tif;0;1;5;23.200000762939453;31.0;0.0;5.0;12.0;2.0;73.18069437645168
4 OA4.tif;0;1;6;6.333333492279053;35.5;0.0;6.0;14.0;3.0;222.39161537897886
4 OA4.tif;0;1;7;5.666666507720947;39.66666793823242;0.0;3.0;8.0;1.0;105.18028082521529
4 OA4.tif;0;1;8;34.66666793823242;39.66666793823242;0.0;3.0;8.0;1.0;255.68217858554866
4 OA4.tif;0;1;9;4.5;42.0;0.0;2.0;6.0;2.0;139.76321666348198
