FileName;Frame;Channel;ChannelColoc;ColocSignalBased;ColocSizeBased;ColocObjectsNumber;MeanIntensity;PearsonCorr;PearsonCorrMasked
%background:/tmp/test/1 Ctrl 1.tif
1 Ctrl 1.tif;0;0;1;0.0226;0.021;0.0;0.0026;-0.0169;-0.0169
1 Ctrl 1.tif;0;1;0;0.1339;0.2207;0.25;0.0867;-0.0169;-0.0169
