Image_ID;Object_ID;Size;Perimeter;Length;Intensity;Overlap_with_ch;Coloc_object_size;Coloc_object_intensity;Single_Coloc;Coloc_image_intensity;Coord_X;Coord_Y;Coord_Z
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//1 Ctrl 1.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//1 Ctrl 2.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//1 Ctrl 3.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//2 OA1.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//2 OA2.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//2 OA4.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//3 Ctrl1.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//3 Ctrl2.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//3 Ctrl3.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//4 OA1.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//4 OA3.tif
%background:/home/i-bird/Desktop/MOSAIC/Luis/Test_r_script_2//4 OA4.tif
5;0;1183.0;254.0;0.0;48.368447680104246;0.0;14.741000175476074;91.53600311279297;false;0.012130372286345345;48.54184341430664;25.108200073242188;0.0
5;0;112.0;62.0;0.0;22.095592652279223;0.0;0.0;0.0;false;6.583278472679394E-4;7.8125;65.96428680419922;0.0
5;0;19.0;18.0;0.0;31.140455438768498;0.0;0.0;0.0;false;0.0;27.0;75.10526275634766;0.0
5;0;98.0;42.0;0.0;19.451142772978915;0.0;0.0;0.0;false;0.0;4.13265323638916;31.846939086914062;0.0
5;0;100.0;42.0;0.0;18.377433026132664;0.0;3.0;36.869998931884766;false;0.0076036866359447;58.099998474121094;72.56999969482422;0.0
5;0;25.0;24.0;0.0;14.216007501702023;0.0;0.0;0.0;false;0.0;22.559999465942383;29.399999618530273;0.0
5;0;18.0;18.0;0.0;13.844485309874614;0.0;0.0;0.0;false;0.004608294930875576;14.5;33.22222137451172;0.0
5;0;40.0;36.0;0.0;14.695383438988713;0.0;0.0;0.0;false;0.0;36.974998474121094;62.07500076293945;0.0
5;0;8.0;10.0;0.0;17.524849699692954;0.0;0.0;0.0;false;0.0;44.5;75.5;0.0
5;0;15.0;16.0;0.0;9.572741206949452;0.0;0.0;0.0;false;0.0;30.399999618530273;38.400001525878906;0.0
4;0;10.0;14.0;0.0;84.7911652570262;0.0;35.0;35.112998962402344;false;0.09879518072289158;40.79999923706055;28.5;0.0
4;0;35.0;28.0;0.0;60.039298715843124;0.0;14.0;19.499000549316406;false;0.01985083189902467;17.714284896850586;36.371429443359375;0.0
4;0;67.0;36.0;0.0;99.22659822821149;0.0;50.0;59.242000579833984;false;0.08038122639812983;29.029850006103516;36.6119384765625;0.0
4;0;9.0;12.0;0.0;95.86781902179571;0.0;0.0;0.0;false;0.013833110218652387;41.0;36.0;0.0
4;0;21.0;18.0;0.0;59.05403193838593;0.0;0.0;0.0;false;0.0047810288774144186;21.85714340209961;47.85714340209961;0.0
4;0;17.0;18.0;0.0;42.18692170677163;0.0;0.0;0.0;false;0.012284431845027165;2.470588207244873;1.8235293626785278;0.0
4;0;108.0;56.0;0.0;68.24270145759779;0.0;14.571000099182129;77.28099822998047;false;0.049233972928752055;17.648147583007812;14.101851463317871;0.0
4;0;32.0;24.0;0.0;59.62758216398944;0.0;0.0;0.0;false;0.00502008032128514;2.875;11.375;0.0
4;0;28.0;29.0;0.0;43.42389055592795;0.0;26.0;36.305999755859375;false;0.029259896729776264;1.5357142686843872;22.964284896850586;0.0
4;0;22.0;20.0;0.0;51.496725488223426;0.0;0.0;0.0;false;0.058598028477546554;36.09090805053711;15.909090995788574;0.0
4;0;18.0;18.0;0.0;65.11037632719255;0.0;14.0;71.8030014038086;false;0.054216867469879526;41.0;2.5;0.0
4;0;12.0;14.0;0.0;38.58523304220077;0.0;0.0;0.0;false;0.007362784471218205;29.5;23.0;0.0
4;0;5.0;7.0;0.0;38.25404530231814;0.0;3.0;73.00299835205078;false;0.1678714859437751;47.599998474121094;41.20000076293945;0.0
4;0;7.0;9.0;0.0;19.960900834074923;0.0;0.0;0.0;false;0.005163511187607573;16.285715103149414;0.4285714328289032;0.0
4;0;5.0;5.0;0.0;24.5600344479219;0.0;0.0;0.0;false;0.1373493975903614;39.0;50.0;0.0
4;0;3.0;6.0;0.0;4.740337916320939;0.0;0.0;0.0;false;0.009370816599732263;47.33333206176758;33.33333206176758;0.0
4;0;1.0;4.0;0.0;43.78377458808939;0.0;0.0;0.0;false;0.012048192771084338;29.0;6.0;0.0
11;0;35.0;26.0;0.0;107.48426990725015;0.0;14.0;96.50299835205078;false;0.04115646258503399;38.228572845458984;15.371428489685059;0.0
11;0;12.0;16.0;0.0;89.09276883157644;0.0;8.0;48.62699890136719;false;0.024801587301587297;44.33333206176758;22.75;0.0
11;0;532.0;180.0;0.0;100.78778149015046;0.0;37.0;72.4209976196289;false;0.026099474877670586;38.484962463378906;46.3778190612793;0.0
11;0;138.0;66.0;0.0;127.49871851730836;0.0;17.0;75.73699951171875;false;0.02484472049689438;12.17391300201416;21.565217971801758;0.0
11;0;3.0;8.0;0.0;157.23984650194865;0.0;0.0;0.0;false;0.003968253968253968;13.333333015441895;33.33333206176758;0.0
11;0;63.0;40.0;0.0;99.0745192711931;0.0;21.0;106.08499908447266;false;0.06714537666918617;50.412696838378906;3.9206349849700928;0.0
11;0;31.0;24.0;0.0;117.56793798694514;0.0;5.0;129.69700622558594;false;0.0416026625704045;20.45161247253418;51.709678649902344;0.0
11;0;10.0;14.0;0.0;47.494587984561086;0.0;0.0;0.0;false;0.005555555555555555;4.199999809265137;35.5;0.0
11;0;14.0;13.0;0.0;21.061400734314592;0.0;0.0;0.0;false;0.0053854875283446705;0.9285714030265808;60.14285659790039;0.0
11;0;6.0;10.0;0.0;32.582815059295136;0.0;0.0;0.0;false;0.0013227513227513227;55.0;16.5;0.0
11;0;1.0;4.0;0.0;72.66160077731581;0.0;0.0;0.0;false;0.007936507936507936;3.0;50.0;0.0
11;0;1.0;4.0;0.0;64.31399969873425;0.0;0.0;0.0;false;0.047619047619047616;5.0;54.0;0.0
11;0;3.0;5.0;0.0;1.3329283218337333;0.0;0.0;0.0;false;0.003968253968253968;57.66666793823242;0.3333333432674408;0.0
2;0;741.0;136.0;0.0;92.72570372045809;0.0;40.448001861572266;66.35900115966797;false;0.019020401682940342;57.4898796081543;56.38191604614258;0.0
2;0;578.0;110.0;0.0;87.26592950472434;0.0;36.0;43.03200149536133;false;0.014844969129520302;93.47058868408203;58.16781997680664;0.0
2;0;298.0;76.0;0.0;55.76522805456986;0.0;0.0;0.0;false;0.004566390314515055;99.96308898925781;90.18791961669922;0.0
2;0;232.0;76.0;0.0;76.43972765180328;0.0;0.0;0.0;false;0.004039891818796474;82.20258331298828;3.5387930870056152;0.0
2;0;271.0;87.0;0.0;90.14485918007469;0.0;0.0;0.0;false;0.0027639099920410896;104.83026123046875;19.741697311401367;0.0
2;0;164.0;56.0;0.0;64.11905195471442;0.0;0.0;0.0;false;0.00212816834050693;83.26219177246094;31.884145736694336;0.0
2;0;66.0;40.0;0.0;14.89731038028541;0.0;0.0;0.0;false;4.7534165181224003E-4;57.60606002807617;11.363636016845703;0.0
2;0;107.0;66.0;0.0;13.09879528079641;0.0;0.0;0.0;false;0.0013194062671797685;54.50467300415039;87.49533081054688;0.0
2;0;23.0;22.0;0.0;15.030454466388049;0.0;0.0;0.0;false;0.0059676044330775795;62.739131927490234;101.08695983886719;0.0
2;0;4.0;10.0;0.0;22.69843373936769;0.0;0.0;0.0;false;0.00980392156862745;105.25;110.0;0.0
2;0;12.0;16.0;0.0;15.771561601889358;0.0;0.0;0.0;false;0.0;42.08333206176758;97.33333587646484;0.0
2;0;7.0;12.0;0.0;11.27896331325867;0.0;0.0;0.0;false;0.00392156862745098;83.42857360839844;88.71428680419922;0.0
2;0;2.0;2.0;0.0;20.242048907865232;0.0;0.0;0.0;false;0.0;109.0;116.5;0.0
6;0;1495.0;214.0;0.0;154.13082552704466;0.0;24.0;148.88900756835938;false;0.001401933385256792;14.530434608459473;58.1605339050293;0.0
6;0;183.0;62.0;0.0;111.30306671891906;0.0;82.0;101.0469970703125;false;0.004765825785363175;30.065574645996094;37.12022018432617;0.0
6;0;496.0;100.0;0.0;126.01041968579545;0.0;0.0;0.0;false;3.774488142583591E-4;70.0383071899414;55.83266067504883;0.0
6;0;668.0;118.0;0.0;129.05707224239325;0.0;0.0;0.0;false;0.0;64.14970397949219;82.28892517089844;0.0
6;0;222.0;70.0;0.0;126.85055061637239;0.0;0.0;0.0;false;0.0;85.84684753417969;30.945945739746094;0.0
6;0;14.0;16.0;0.0;57.052498234065155;0.0;0.0;0.0;false;0.0;106.35713958740234;15.928571701049805;0.0
6;0;15.0;17.0;0.0;63.299733371845704;0.0;0.0;0.0;false;0.014003044140030441;106.5999984741211;34.79999923706055;0.0
6;0;44.0;31.0;0.0;37.73568083329282;0.0;0.0;0.0;false;0.0;31.295454025268555;107.45454406738281;0.0
6;0;5.0;5.0;0.0;30.870898227901073;0.0;0.0;0.0;false;0.0;105.0;109.0;0.0
6;0;6.0;6.0;0.0;21.82540828586196;0.0;0.0;0.0;false;0.0;107.0;101.5;0.0
8;0;319.0;86.0;0.0;105.55433799533051;0.0;0.0;0.0;false;0.0;97.83699035644531;84.35423278808594;0.0
8;0;1050.0;172.0;0.0;143.18060936755109;0.0;0.0;0.0;false;9.807256235827664E-4;85.16476440429688;107.96857452392578;0.0
8;0;24.0;24.0;0.0;77.09119004223504;0.0;0.0;0.0;false;0.0;114.08333587646484;92.25;0.0
8;0;209.0;62.0;0.0;95.15975101546358;0.0;0.0;0.0;false;1.139211665527455E-4;118.98564910888672;111.33014678955078;0.0
8;0;26.0;24.0;0.0;61.03841640431397;0.0;0.0;0.0;false;0.009386446886446886;67.26923370361328;36.53845977783203;0.0
8;0;721.0;136.0;0.0;115.70449803855004;0.0;0.0;0.0;false;5.861567928142129E-4;68.67545318603516;55.91817092895508;0.0
8;0;423.0;92.0;0.0;114.05355921935242;0.0;0.0;0.0;false;6.89519306540583E-4;102.47517395019531;28.106382369995117;0.0
8;0;148.0;58.0;0.0;100.0362218272392;0.0;0.0;0.0;false;0.0;47.66891860961914;123.6959457397461;0.0
8;0;285.0;76.0;0.0;77.24728130087256;0.0;0.0;0.0;false;6.892230576441104E-4;36.21403503417969;72.92631530761719;0.0
8;0;36.0;30.0;0.0;28.470578760371495;0.0;0.0;0.0;false;0.0;123.75;4.138888835906982;0.0
8;0;115.0;50.0;0.0;23.142377098949037;0.0;0.0;0.0;false;0.0;43.54782485961914;22.600000381469727;0.0
8;0;22.0;20.0;0.0;10.159606040792985;0.0;0.0;0.0;false;0.0;95.09091186523438;64.90908813476562;0.0
7;0;39.0;28.0;0.0;106.04902922245118;0.0;20.0;68.23200225830078;false;0.06201550387596901;21.41025733947754;25.0256404876709;0.0
7;0;16.0;17.0;0.0;134.19612543697787;0.0;0.0;0.0;false;0.04106104651162791;59.1875;68.25;0.0
7;0;46.0;30.0;0.0;79.05377617202225;0.0;0.0;0.0;false;0.02540444893832155;44.4782600402832;18.60869598388672;0.0
3;0;60.0;42.0;0.0;92.72420723845515;0.0;0.0;0.0;false;0.025304878048780503;32.86666488647461;49.28333282470703;0.0
3;0;58.0;42.0;0.0;83.93919714131125;0.0;0.0;0.0;false;0.018923465096719945;40.44827651977539;23.10344886779785;0.0
3;0;16.0;16.0;0.0;75.24208313572599;0.0;0.0;0.0;false;0.016768292682926827;23.5;15.5;0.0
3;0;13.0;16.0;0.0;47.10672430008958;0.0;0.0;0.0;false;0.02579737335834897;38.38461685180664;34.61538314819336;0.0
1;0;33.0;26.0;0.0;205.58991178413734;0.0;20.0;56.637001037597656;false;0.04496124031007752;21.787878036499023;26.272727966308594;0.0
1;0;29.0;22.0;0.0;193.4273959298316;0.0;0.0;0.0;false;0.03785084202085004;56.58620834350586;41.72413635253906;0.0
1;0;20.0;20.0;0.0;168.61073543313248;0.0;0.0;0.0;false;0.027906976744186053;40.900001525878906;18.049999237060547;0.0
1;0;18.0;20.0;0.0;181.74097294552973;0.0;0.0;0.0;false;0.031782945736434115;34.27777862548828;22.11111068725586;0.0
1;0;17.0;20.0;0.0;164.36403019167284;0.0;14.0;181.57000732421875;false;0.07688098495212038;31.352941513061523;30.0;0.0
1;0;15.0;18.0;0.0;181.65379420542627;0.0;22.0;47.64699935913086;false;0.10046511627906977;45.20000076293945;32.13333511352539;0.0
1;0;19.0;20.0;0.0;102.08769085185473;0.0;0.0;0.0;false;0.02178702570379437;43.0;9.789473533630371;0.0
1;0;8.0;14.0;0.0;80.33459644161825;0.0;38.0;36.13999938964844;false;0.15465116279069765;51.0;20.5;0.0
1;0;6.0;12.0;0.0;60.92908001608911;0.0;0.0;0.0;false;0.011627906976744186;21.83333396911621;13.833333015441895;0.0
1;0;3.0;3.0;0.0;46.592863762872135;0.0;0.0;0.0;false;0.015503875968992248;40.0;0.0;0.0
1;0;6.0;12.0;0.0;17.59314982963717;0.0;40.0;83.15399932861328;false;0.17131782945736432;26.83333396911621;50.83333206176758;0.0
0;0;147.0;62.0;0.0;208.52341049393874;0.0;0.0;0.0;false;0.0026908541194255475;26.047618865966797;47.11564636230469;0.0
0;0;207.0;74.0;0.0;197.2980554743433;0.0;22.479000091552734;187.89199829101562;false;0.10351046698872787;33.0;25.169082641601562;0.0
0;0;44.0;27.0;0.0;185.65019824605568;0.0;0.0;0.0;false;0.0012121212121212121;43.6136360168457;9.977272987365723;0.0
0;0;10.0;14.0;0.0;136.40796676199872;0.0;0.0;0.0;false;0.0;33.5;9.0;0.0
0;0;11.0;16.0;0.0;8.500574206446847;0.0;0.0;0.0;false;0.0;12.818181991577148;50.45454406738281;0.0
9;0;262.0;96.0;0.0;141.0831409987573;0.0;65.0;105.73999786376953;false;0.11125510385229895;30.59541893005371;27.496183395385742;0.0
9;0;149.0;66.0;0.0;143.5785604588225;0.0;0.0;0.0;false;0.0;21.53691291809082;38.97986602783203;0.0
9;0;194.0;68.0;0.0;168.63918703805956;0.0;0.0;0.0;false;0.0012227283625029966;46.335052490234375;45.37113571166992;0.0
9;0;17.0;17.0;0.0;113.98652612197563;0.0;0.0;0.0;false;0.0;57.17647171020508;14.29411792755127;0.0
9;0;12.0;12.0;0.0;27.196363034650144;0.0;6.0;78.04299926757812;false;0.09534883720930232;58.0;39.5;0.0
9;0;39.0;26.0;0.0;12.884250511986577;0.0;0.0;0.0;false;0.0;2.230769157409668;27.41025733947754;0.0
10;0;96.0;54.0;0.0;188.29084001437568;0.0;1.0;332.2770080566406;false;0.03981164383561644;26.94791603088379;21.64583396911621;0.0
10;0;30.0;24.0;0.0;151.2318489645788;0.0;0.0;0.0;false;0.0;30.899999618530273;10.199999809265137;0.0
10;0;4.0;4.0;0.0;125.68213729992193;0.0;0.0;0.0;false;0.003424657534246575;41.5;0.0;0.0
10;0;3.0;3.0;0.0;71.96558534306318;0.0;0.0;0.0;false;0.0;24.0;45.0;0.0
10;0;27.0;24.0;0.0;16.434975953313526;0.0;0.0;0.0;false;0.0;3.8518519401550293;29.55555534362793;0.0
10;0;3.0;8.0;0.0;0.7749111809470041;0.0;0.0;0.0;false;0.0;30.33333396911621;28.33333396911621;0.0
