FileName;Frame;Channel;ChannelColoc;ColocSignalBased;ColocSizeBased;ColocObjectsNumber;MeanIntensity;PearsonCorr;PearsonCorrMasked
%background:/tmp/test/4 OA4.tif
4 OA4.tif;0;0;1;0.0;0.0;0.0;0.0072;0.0233;0.0233
4 OA4.tif;0;1;0;0.0;0.0;0.0;0.0053;0.0233;0.0233
