FileName;Frame;Channel;ChannelColoc;ColocSignalBased;ColocSizeBased;ColocObjectsNumber;MeanIntensity;PearsonCorr;PearsonCorrMasked
%background:/tmp/test/1 Ctrl 3.tif
1 Ctrl 3.tif;0;0;1;0.0597;0.059;0.0;0.0223;-0.0719;-0.0719
1 Ctrl 3.tif;0;1;0;0.1085;0.1506;0.0434;0.0818;-0.0719;-0.0719
