Id,Image_ID,label,size,mean,variance,Coord_X,Coord_Y,Coord_Z
1,0,0,2684,-7.212E-16,1.116E-15,31.564,34.477,0
2,0,12,1285,1.000,-3.719E-15,32.911,26.827,0
