Image_ID;Object_ID;Size;Perimeter;Length;Intensity;Coord_X;Coord_Y;Coord_Z
%background:/tmp/test//dropletVideoSmall.tif
0;0;4.0;18.0;3.0;13897.540672725;18.75;38.75;7.0
1;0;342.0;310.0;2.0;510.78382156425755;19.88888931274414;30.640350341796875;7.6315789222717285
1;0;60.0;87.0;1.0;814.053111565227;37.04999923706055;15.233333587646484;1.0333333015441895
2;0;50.0;106.0;1.0;2337.917179792731;20.799999237060547;28.31999969482422;6.739999771118164
3;0;4.0;16.0;0.0;7707.339185187502;19.5;36.0;6.5
3;0;1.0;6.0;1.0;52561.40995773209;20.0;34.0;8.0
3;0;22.0;50.0;4.0;1551.5453642142838;39.09090805053711;27.272727966308594;1.1363636255264282
3;0;50.0;73.0;3.0;534.6496990999059;0.7599999904632568;15.960000038146973;5.980000019073486
4;0;40.0;92.0;2.0;2579.7054357464262;18.375;34.57500076293945;6.625
