Image_ID;Object_ID;Size;Perimeter;Length;Intensity;Overlap_with_ch;Coloc_object_size;Coloc_object_intensity;Single_Coloc;Coloc_image_intensity;Coord_X;Coord_Y;Coord_Z
%background:/tmp/test//1 Ctrl 3.tif
2;0;21.0;24.0;4.0;106.08583425072555;0.42800000309944153;63.0;99.0739974975586;true;0.2201834862385321;45.380950927734375;3.6666667461395264;0.0
2;0;24.0;28.0;5.0;142.63096205053873;0.0;0.0;0.0;true;0.009938837920489297;14.666666984558105;7.791666507720947;0.0
2;0;11.0;14.0;3.0;239.1636494938282;0.0;0.0;0.0;true;0.01042535446205171;24.636363983154297;15.909090995788574;0.0
2;0;9.0;12.0;3.0;248.6772751092481;0.0;0.0;0.0;true;0.028032619775739048;36.0;20.0;0.0
2;0;6.0;12.0;1.0;32.68298630959608;0.0;0.0;0.0;true;0.016055045871559634;55.83333206176758;23.83333396911621;0.0
2;0;17.0;18.0;1.0;128.9976788495697;0.0;0.0;0.0;true;0.022396114409066383;50.117645263671875;25.41176414489746;0.0
2;0;14.0;18.0;2.0;135.88635753150047;0.0;0.0;0.0;true;0.02719528178243774;56.92856979370117;51.28571319580078;0.0
2;0;5.0;12.0;2.0;129.697175257791;0.20000000298023224;31.0;117.56700134277344;true;0.1247706422018349;24.0;54.0;0.0
2;0;16.0;18.0;1.0;252.66418049237953;0.0;0.0;0.0;true;0.014621559633027524;19.4375;57.625;0.0
2;0;11.0;16.0;1.0;171.2589645094286;0.0;0.0;0.0;true;0.010842368640533779;24.454545974731445;31.636363983154297;0.0
2;0;7.0;12.0;1.0;182.5991348736779;0.1420000046491623;532.0;100.78700256347656;true;0.13171690694626476;30.0;52.71428680419922;0.0
2;0;12.0;16.0;2.0;127.57387767861727;0.0;0.0;0.0;true;0.06039755351681959;55.33333206176758;42.08333206176758;0.0
2;0;52.0;52.0;13.0;86.7331890151298;0.3840000033378601;532.0;100.78700256347656;true;0.19063161609033172;32.0;34.67307662963867;0.0
2;0;8.0;14.0;2.0;152.06822221255416;0.0;0.0;0.0;true;0.05619266055045872;22.5;40.875;0.0
2;0;14.0;20.0;2.0;96.50322333837752;0.07100000232458115;35.0;107.48400115966797;true;0.08846657929226738;35.71428680419922;10.214285850524902;0.0
2;0;17.0;20.0;4.0;75.73787450435954;0.41100001335144043;138.0;127.49800109863281;true;0.20696168375607124;12.411765098571777;18.647058486938477;0.0
2;0;22.0;24.0;2.0;44.47622800566308;0.0;0.0;0.0;true;0.03753127606338615;44.45454406738281;12.227272987365723;0.0
2;0;17.0;18.0;3.0;61.936075379648635;0.0;0.0;0.0;true;0.009444144630329197;49.764705657958984;13.058823585510254;0.0
2;0;17.0;20.0;3.0;65.23137226091346;0.0;0.0;0.0;true;0.05018888289260659;4.764705657958984;56.70588302612305;0.0
2;0;8.0;12.0;2.0;48.62769188139197;0.125;12.0;89.09200286865234;true;0.1261467889908257;41.875;21.125;0.0
2;0;10.0;14.0;2.0;32.779573656056954;1.0;532.0;100.78700256347656;true;0.38256880733944953;37.5;47.0;0.0
2;0;10.0;12.0;2.0;42.340763199278726;0.0;0.0;0.0;true;0.0481651376146789;45.900001525878906;61.29999923706055;0.0
2;0;4.0;4.0;4.0;16.656873777600246;0.0;0.0;0.0;true;0.010321100917431193;26.5;62.0;0.0
