Image_ID;Object_ID;Size;Perimeter;Length;Intensity;Overlap_with_ch;Coloc_object_size;Coloc_object_intensity;Single_Coloc;Coloc_image_intensity;Coord_X;Coord_Y;Coord_Z
%background:/tmp/test//2 OA2.tif
4;0;65.0;42.0;8.0;147.61233186462837;0.0;0.0;0.0;true;0.0014341590612777053;50.06153869628906;62.69230651855469;0.0
4;0;39.0;32.0;8.0;158.97894725397646;0.0;0.0;0.0;true;0.009017818339852239;66.53845977783203;43.30769348144531;0.0
4;0;24.0;22.0;1.0;148.889159192282;0.125;1482.0;155.25;true;0.06320621468926554;29.66666603088379;50.875;0.0
4;0;22.0;18.0;1.0;143.0007602784823;0.0;0.0;0.0;true;0.0;1.7727272510528564;4.090909004211426;0.0
4;0;82.0;60.0;13.0;101.0472589024438;0.0;0.0;0.0;true;0.008629599007854484;43.93902587890625;32.414634704589844;0.0
4;0;30.0;28.0;6.0;89.65795017658057;0.0;0.0;0.0;true;0.004943502824858757;103.06666564941406;40.0;0.0
4;0;40.0;28.0;1.0;88.0105916115903;0.0;0.0;0.0;true;0.0;65.6500015258789;103.125;0.0
4;0;18.0;18.0;5.0;68.7801898845164;0.0;0.0;0.0;true;0.0;42.16666793823242;108.05555725097656;0.0
4;0;13.0;16.0;3.0;38.496123717828254;0.0;0.0;0.0;true;0.0;39.0;100.84615325927734;0.0
4;0;7.0;12.0;3.0;34.231774434256074;0.0;0.0;0.0;true;0.0;84.28571319580078;94.42857360839844;0.0
