Image_ID;Object_ID;Size;Perimeter;Length;Intensity;Overlap_with_ch;Coloc_object_size;Coloc_object_intensity;Single_Coloc;Coloc_image_intensity;Coord_X;Coord_Y;Coord_Z
%background:/tmp/test//4 OA1.tif
9;0;3.0;8.0;1.0;263.95292647968046;0.0;0.0;0.0;true;0.009150326797385621;29.33333396911621;8.333333015441895;0.0
9;0;3.0;8.0;1.0;101.51364577869353;0.0;0.0;0.0;true;0.07973856209150328;22.66666603088379;22.66666603088379;0.0
9;0;24.0;22.0;3.0;199.85691581569327;0.9580000042915344;207.0;197.29800415039062;true;0.7218954248366014;27.75;23.58333396911621;0.0
9;0;8.0;14.0;1.0;146.00836949634308;0.0;0.0;0.0;true;4.901960784313725E-4;20.625;25.75;0.0
9;0;6.0;12.0;3.0;228.44612514736073;0.0;0.0;0.0;true;0.0;8.0;24.83333396911621;0.0
9;0;11.0;18.0;1.0;212.7489910927796;0.0;0.0;0.0;true;0.0;22.909090042114258;33.272727966308594;0.0
9;0;4.0;8.0;1.0;182.69428608372002;0.0;0.0;0.0;true;0.0;1.0;50.75;0.0
9;0;10.0;14.0;3.0;164.26857942756052;0.0;0.0;0.0;true;0.0;10.800000190734863;32.0;0.0
9;0;3.0;8.0;1.0;92.9255708780576;0.0;0.0;0.0;true;0.0;14.666666984558105;32.33333206176758;0.0
9;0;12.0;20.0;3.0;162.68731602041143;0.0;0.0;0.0;true;0.0;7.833333492279053;10.083333015441895;0.0
9;0;3.0;5.0;1.0;153.09082848700132;0.0;0.0;0.0;true;0.0;12.666666984558105;54.66666793823242;0.0
9;0;1.0;4.0;1.0;319.0894054025505;0.0;0.0;0.0;true;0.0;42.0;17.0;0.0
9;0;5.0;12.0;2.0;102.18890679608401;0.0;0.0;0.0;true;0.0;29.600000381469727;3.0;0.0
9;0;3.0;8.0;1.0;176.46741420501854;0.0;0.0;0.0;true;0.0;14.666666984558105;17.33333396911621;0.0
9;0;1.0;4.0;1.0;223.6456566908536;0.0;0.0;0.0;true;0.0;42.0;36.0;0.0
9;0;2.0;5.0;2.0;127.29816128508104;0.0;0.0;0.0;true;0.00980392156862745;45.5;28.5;0.0
9;0;2.0;6.0;2.0;94.95589453250437;0.0;0.0;0.0;true;0.0;1.5;45.0;0.0
9;0;2.0;2.0;2.0;62.40098251025031;0.0;0.0;0.0;true;0.0;13.5;0.0;0.0
9;0;5.0;10.0;2.0;50.29735961438116;0.4000000059604645;207.0;197.29800415039062;true;0.20313725490196077;32.20000076293945;32.599998474121094;0.0
9;0;2.0;6.0;2.0;20.932852609536894;0.0;0.0;0.0;true;0.0;5.5;32.0;0.0
9;0;2.0;6.0;2.0;37.77070935821005;0.0;0.0;0.0;true;0.0;17.5;10.0;0.0
9;0;3.0;8.0;1.0;28.026296889357738;0.0;0.0;0.0;true;0.02091503267973856;20.33333396911621;40.33333206176758;0.0
