FileName;Frame;Channel;Id;X;Y;Z;Size;Perimeter;Length;Intensity
%background:/tmp/test/2 OA4.tif
2 OA4.tif;0;0;1;67.26923370361328;36.53845977783203;0.0;26.0;24.0;1.0;61.03841640431397
2 OA4.tif;0;0;2;68.67545318603516;55.91817092895508;0.0;721.0;136.0;16.0;115.70449803855004
2 OA4.tif;0;0;3;95.09091186523438;64.90908813476562;0.0;22.0;20.0;1.0;10.159606040792985
2 OA4.tif;0;0;4;36.21403503417969;72.92631530761719;0.0;285.0;76.0;2.0;77.24728130087256
2 OA4.tif;0;0;5;97.83699035644531;84.35423278808594;0.0;319.0;86.0;7.0;105.55433799533051
2 OA4.tif;0;0;6;85.16476440429688;107.96857452392578;0.0;1050.0;172.0;30.0;143.18060936755109
2 OA4.tif;0;0;7;114.08333587646484;92.25;0.0;24.0;24.0;2.0;77.09119004223504
2 OA4.tif;0;0;8;118.98564910888672;111.33014678955078;0.0;209.0;62.0;1.0;95.15975101546358
2 OA4.tif;0;0;9;47.66891860961914;123.6959457397461;0.0;148.0;58.0;7.0;100.0362218272392
2 OA4.tif;0;0;10;123.75;4.138888835906982;0.0;36.0;30.0;11.0;28.470578760371495
2 OA4.tif;0;0;11;43.54782485961914;22.600000381469727;0.0;115.0;50.0;1.0;23.142377098949037
2 OA4.tif;0;0;12;102.47517395019531;28.106382369995117;0.0;423.0;92.0;3.0;114.05355921935242
2 OA4.tif;0;1;1;71.81818389892578;124.59091186523438;0.0;22.0;22.0;2.0;59.503876036078445
2 OA4.tif;0;1;2;44.5;1.5;0.0;4.0;8.0;2.0;65.14674991349345
2 OA4.tif;0;1;3;65.38888549804688;41.22222137451172;0.0;18.0;22.0;1.0;63.95425953296591
2 OA4.tif;0;1;4;111.0;39.5;0.0;2.0;6.0;2.0;31.450173858720312
2 OA4.tif;0;1;5;23.837209701538086;68.93022918701172;0.0;43.0;32.0;3.0;115.28251311798164
2 OA4.tif;0;1;6;100.76923370361328;101.15384674072266;0.0;13.0;18.0;1.0;52.071366447195985
2 OA4.tif;0;1;7;62.157894134521484;114.47368621826172;0.0;19.0;20.0;1.0;88.6314816086286
2 OA4.tif;0;1;8;65.5;121.0;0.0;6.0;10.0;2.0;22.62365590924145
