FileName;Frame;Channel;Id;X;Y;Z;Size;Perimeter;Length;Intensity
%background:/tmp/test/1 Ctrl 3.tif
1 Ctrl 3.tif;0;0;1;50.412696838378906;3.9206349849700928;0.0;63.0;40.0;7.0;99.0745192711931
1 Ctrl 3.tif;0;0;2;57.66666793823242;0.3333333432674408;0.0;3.0;5.0;1.0;1.3329283218337333
1 Ctrl 3.tif;0;0;3;38.228572845458984;15.371428489685059;0.0;35.0;26.0;1.0;107.48426990725015
1 Ctrl 3.tif;0;0;4;12.17391300201416;21.565217971801758;0.0;138.0;66.0;14.0;127.49871851730836
1 Ctrl 3.tif;0;0;5;55.0;16.5;0.0;6.0;10.0;3.0;32.582815059295136
1 Ctrl 3.tif;0;0;6;44.33333206176758;22.75;0.0;12.0;16.0;2.0;89.09276883157644
1 Ctrl 3.tif;0;0;7;38.484962463378906;46.3778190612793;0.0;532.0;180.0;54.0;100.78778149015046
1 Ctrl 3.tif;0;0;8;13.333333015441895;33.33333206176758;0.0;3.0;8.0;1.0;157.23984650194865
1 Ctrl 3.tif;0;0;9;4.199999809265137;35.5;0.0;10.0;14.0;2.0;47.494587984561086
1 Ctrl 3.tif;0;0;10;20.45161247253418;51.709678649902344;0.0;31.0;24.0;1.0;117.56793798694514
1 Ctrl 3.tif;0;0;11;0.9285714030265808;60.14285659790039;0.0;14.0;13.0;2.0;21.061400734314592
1 Ctrl 3.tif;0;1;1;41.875;21.125;0.0;8.0;12.0;2.0;48.62769188139197
1 Ctrl 3.tif;0;1;2;55.83333206176758;23.83333396911621;0.0;6.0;12.0;1.0;32.68298630959608
1 Ctrl 3.tif;0;1;3;50.117645263671875;25.41176414489746;0.0;17.0;18.0;1.0;128.9976788495697
1 Ctrl 3.tif;0;1;4;32.0;34.67307662963867;0.0;52.0;52.0;13.0;86.7331890151298
1 Ctrl 3.tif;0;1;5;24.454545974731445;31.636363983154297;0.0;11.0;16.0;1.0;171.2589645094286
1 Ctrl 3.tif;0;1;6;22.5;40.875;0.0;8.0;14.0;2.0;152.06822221255416
1 Ctrl 3.tif;0;1;7;55.33333206176758;42.08333206176758;0.0;12.0;16.0;2.0;127.57387767861727
1 Ctrl 3.tif;0;1;8;37.5;47.0;0.0;10.0;14.0;2.0;32.779573656056954
1 Ctrl 3.tif;0;1;9;56.92856979370117;51.28571319580078;0.0;14.0;18.0;2.0;135.88635753150047
1 Ctrl 3.tif;0;1;10;30.0;52.71428680419922;0.0;7.0;12.0;1.0;182.5991348736779
1 Ctrl 3.tif;0;1;11;24.0;54.0;0.0;5.0;12.0;2.0;129.697175257791
1 Ctrl 3.tif;0;1;12;4.764705657958984;56.70588302612305;0.0;17.0;20.0;3.0;65.23137226091346
1 Ctrl 3.tif;0;1;13;19.4375;57.625;0.0;16.0;18.0;1.0;252.66418049237953
1 Ctrl 3.tif;0;1;14;45.900001525878906;61.29999923706055;0.0;10.0;12.0;2.0;42.340763199278726
1 Ctrl 3.tif;0;1;15;26.5;62.0;0.0;4.0;4.0;4.0;16.656873777600246
1 Ctrl 3.tif;0;1;16;45.380950927734375;3.6666667461395264;0.0;21.0;24.0;4.0;106.08583425072555
1 Ctrl 3.tif;0;1;17;14.666666984558105;7.791666507720947;0.0;24.0;28.0;5.0;142.63096205053873
1 Ctrl 3.tif;0;1;18;35.71428680419922;10.214285850524902;0.0;14.0;20.0;2.0;96.50322333837752
1 Ctrl 3.tif;0;1;19;44.45454406738281;12.227272987365723;0.0;22.0;24.0;2.0;44.47622800566308
1 Ctrl 3.tif;0;1;20;49.764705657958984;13.058823585510254;0.0;17.0;18.0;3.0;61.936075379648635
1 Ctrl 3.tif;0;1;21;24.636363983154297;15.909090995788574;0.0;11.0;14.0;3.0;239.1636494938282
1 Ctrl 3.tif;0;1;22;12.411765098571777;18.647058486938477;0.0;17.0;20.0;4.0;75.73787450435954
1 Ctrl 3.tif;0;1;23;36.0;20.0;0.0;9.0;12.0;3.0;248.6772751092481
