FileName;Frame;Channel;Id;X;Y;Z;Size;Perimeter;Length;Intensity
%background:/tmp/test/1 Ctrl 2.tif
1 Ctrl 2.tif;0;0;1;47.599998474121094;41.20000076293945;0.0;5.0;7.0;1.0;38.25404530231814
1 Ctrl 2.tif;0;0;2;21.85714340209961;47.85714340209961;0.0;21.0;18.0;2.0;59.05403193838593
1 Ctrl 2.tif;0;0;3;39.5;49.599998474121094;0.0;10.0;12.0;4.0;16.29172756868779
1 Ctrl 2.tif;0;0;4;2.470588207244873;1.8235293626785278;0.0;17.0;18.0;7.0;42.18692170677163
1 Ctrl 2.tif;0;0;5;16.285715103149414;0.4285714328289032;0.0;7.0;9.0;3.0;19.960900834074923
1 Ctrl 2.tif;0;0;6;41.0;2.5;0.0;18.0;18.0;1.0;65.11037632719255
1 Ctrl 2.tif;0;0;7;17.648147583007812;14.101851463317871;0.0;108.0;56.0;11.0;68.24270145759779
1 Ctrl 2.tif;0;0;8;2.875;11.375;0.0;32.0;24.0;3.0;59.62758216398944
1 Ctrl 2.tif;0;0;9;36.09090805053711;15.909090995788574;0.0;22.0;20.0;1.0;51.496725488223426
1 Ctrl 2.tif;0;0;10;1.384615421295166;23.230770111083984;0.0;26.0;27.0;6.0;46.08745802015066
1 Ctrl 2.tif;0;0;11;29.5;23.0;0.0;12.0;14.0;4.0;38.58523304220077
1 Ctrl 2.tif;0;0;12;40.79999923706055;28.5;0.0;10.0;14.0;2.0;84.7911652570262
1 Ctrl 2.tif;0;0;13;17.714284896850586;36.371429443359375;0.0;35.0;28.0;1.0;60.039298715843124
1 Ctrl 2.tif;0;0;14;29.029850006103516;36.6119384765625;0.0;67.0;36.0;3.0;99.22659822821149
1 Ctrl 2.tif;0;0;15;47.33333206176758;33.33333206176758;0.0;3.0;6.0;1.0;4.740337916320939
1 Ctrl 2.tif;0;0;16;41.0;36.0;0.0;9.0;12.0;3.0;95.86781902179571
1 Ctrl 2.tif;0;1;1;23.0;1.7407407760620117;0.0;27.0;24.0;5.0;73.74911602489811
1 Ctrl 2.tif;0;1;2;35.5;1.0;0.0;6.0;8.0;2.0;133.24843660159866
1 Ctrl 2.tif;0;1;3;42.20000076293945;0.6000000238418579;0.0;5.0;8.0;2.0;47.07914058430473
1 Ctrl 2.tif;0;1;4;13.370369911193848;4.44444465637207;0.0;27.0;26.0;2.0;50.907201888862836
1 Ctrl 2.tif;0;1;5;45.66666793823242;3.0;0.0;9.0;14.0;3.0;85.49655524873269
1 Ctrl 2.tif;0;1;6;26.200000762939453;10.733333587646484;0.0;15.0;18.0;3.0;36.84674312536129
1 Ctrl 2.tif;0;1;7;40.66666793823242;11.333333015441895;0.0;3.0;8.0;1.0;118.33620633252198
1 Ctrl 2.tif;0;1;8;17.100000381469727;13.199999809265137;0.0;10.0;14.0;2.0;80.77117185266279
1 Ctrl 2.tif;0;1;9;31.25;14.583333015441895;0.0;12.0;16.0;1.0;62.89978719034124
1 Ctrl 2.tif;0;1;10;4.92307710647583;18.884614944458008;0.0;26.0;30.0;6.0;36.306854334102965
1 Ctrl 2.tif;0;1;11;25.80769157409668;18.538461685180664;0.0;26.0;26.0;6.0;68.55570395535725
1 Ctrl 2.tif;0;1;12;42.69696807861328;19.454545974731445;0.0;33.0;38.0;7.0;155.69612008009605
1 Ctrl 2.tif;0;1;13;21.863636016845703;25.363636016845703;0.0;22.0;22.0;1.0;106.8056461599628
1 Ctrl 2.tif;0;1;14;11.666666984558105;25.16666603088379;0.0;6.0;12.0;1.0;26.508234433789976
1 Ctrl 2.tif;0;1;15;38.82857131958008;30.14285659790039;0.0;35.0;34.0;5.0;35.11319078954344
1 Ctrl 2.tif;0;1;16;30.33333396911621;27.33333396911621;0.0;3.0;8.0;1.0;73.04374680262099
1 Ctrl 2.tif;0;1;17;18.600000381469727;29.799999237060547;0.0;5.0;10.0;1.0;43.97440244662191
1 Ctrl 2.tif;0;1;18;12.5;35.0;0.0;6.0;10.0;2.0;33.810176850327345
1 Ctrl 2.tif;0;1;19;31.600000381469727;40.0;0.0;50.0;44.0;7.0;59.24255689609216
1 Ctrl 2.tif;0;1;20;45.0;35.0;0.0;7.0;12.0;1.0;76.77522342165491
1 Ctrl 2.tif;0;1;21;0.5;37.0;0.0;6.0;8.0;2.0;27.247252916015487
1 Ctrl 2.tif;0;1;22;18.85714340209961;40.07143020629883;0.0;14.0;18.0;1.0;19.499047913022242
1 Ctrl 2.tif;0;1;23;15.100000381469727;41.5;0.0;10.0;13.0;4.0;34.455644944534086
1 Ctrl 2.tif;0;1;24;12.0;44.0;0.0;32.0;28.0;6.0;31.977576456339627
1 Ctrl 2.tif;0;1;25;0.5;46.5;0.0;6.0;9.0;2.0;29.52413254405154
1 Ctrl 2.tif;0;1;26;40.228572845458984;48.08571243286133;0.0;35.0;33.0;13.0;69.62630452126223
1 Ctrl 2.tif;0;1;27;4.800000190734863;49.599998474121094;0.0;5.0;7.0;2.0;64.38128327118514
